chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP-01-P0001,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Objetivo,,1,1,10,10,paragraph,"El objetivo de la presente Norma es establecer la forma de presentación de los estados financieros con propósito general, para poder asegurar su comparabilidad, tanto con los estados financieros de ejercicios anteriores de la propia entidad, como con los de otras entidades. Para alcanzar dicho objetivo, la Norma establece, en primer lugar, consideraciones generales para la presentación de los estados financieros y, a continuación, ofrece guías para determinar su estructura, a la vez que fija los requisitos mínimos sobre el contenido de los estados financieros cuya preparación se hace sobre la base contable de acumulación (o devengo). Tanto el reconocimiento, como la medición y la información a revelar sobre determinadas transacciones y otros sucesos, se abordan en otras NICSP.","NICSP 1, párr. 1, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""paragraph""}"
NICSP-01-P0002,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Alcance,,2,2,10,10,paragraph,"La presente Norma deberá aplicarse a todos los estados financieros con propósito general, que se preparen y presenten sobre la base contable de acumulación (o devengo) conforme a las NICSP.","NICSP 1, párr. 2, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""paragraph""}"
NICSP-01-P0003,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Alcance,,3,3,10,10,paragraph,"Los estados financieros con propósito general son aquellos que pretenden cubrir las necesidades de usuarios que no están en condiciones de exigir informes a la medida de sus necesidades específicas de información. Usuarios de estados financieros con propósito general son los contribuyentes de impuestos y tasas, los miembros de órganos legislativos, acreedores, proveedores, medios de comunicación y trabajadores. Los estados financieros con propósito general incluyen los que se presentan de forma separada, o dentro de otro documento de carácter público, tal como el informe anual. Esta Norma no es de aplicación a la información intermedia que se presente de forma abreviada o condensada.","NICSP 1, párr. 3, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""paragraph""}"
NICSP-01-P0004,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Alcance,,4,4,10,10,paragraph,"Esta Norma se aplicará de la misma forma a todas las entidades, incluyendo las que presentan estados financieros consolidados de acuerdo con la NICSP 35 Estados Financieros Consolidados y las que presentan estados financieros separados, de acuerdo con la NICSP 34 Estados Financieros Separados.","NICSP 1, párr. 4, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""paragraph""}"
NICSP-01-P0005,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Alcance,,5,5,10,10,paragraph,[Eliminado],"NICSP 1, párr. 5, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""deleted"",""qa_scope"": ""historico"",
  ""normative_status"": ""deleted"",
  ""reason"": ""párrafo eliminado por enmiendas posteriores del IPSASB"",
  ""vectorize"": false}"
NICSP-01-P0006,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Alcance,,6,6,10,10,paragraph,[Eliminado],"NICSP 1, párr. 6, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""deleted"",""qa_scope"": ""historico"",
  ""normative_status"": ""deleted"",
  ""reason"": ""párrafo eliminado por enmiendas posteriores del IPSASB"",
  ""vectorize"": false}"
NICSP-01-P0007,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Definiciones,,7,7,10,10,definition,"Los términos siguientes se usan en esta Norma, con los significados que a continuación se","NICSP 1, párr. 7, p. 10 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": null, ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""definition""}"
NICSP-01-P0008,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Definiciones,Entidad económica,8,8,13,13,definition,"El término entidad económica se usa en esta Norma para definir, a efectos de presentación de información financiera, un grupo de entidades que comprende a la entidad controladora y a las entidades controladas.","NICSP 1, párr. 8, p. 13 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": ""Entidad económica"", ""parrafo_ini"": 8, ""parrafo_fin"": 8, ""page_ini_pdf"": 13, ""page_fin_pdf"": 13, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""definition""}"
NICSP-01-P0009,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Definiciones,Entidad económica,9,9,13,13,definition,"Otros términos usados a veces para referirse a una entidad económica incluyen entidad administrativa, entidad financiera, entidad consolidada y grupo.","NICSP 1, párr. 9, p. 13 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": ""Entidad económica"", ""parrafo_ini"": 9, ""parrafo_fin"": 9, ""page_ini_pdf"": 13, ""page_fin_pdf"": 13, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""definition""}"
NICSP-01-P0010,NICSP,NICSP-01,Presentación de Estados Financieros,2025-01-31,es,Definiciones,Entidad económica,10,10,13,13,definition,"Una entidad económica puede incluir entidades con objetivos de carácter social y comercial. Por ejemplo, un organismo gubernamental de vivienda puede ser una entidad económica que incluya entidades que proporcionan vivienda a precio simbólico, así como también entidades que proporcionan alojamiento en régimen comercial.","NICSP 1, párr. 10, p. 13 (PDF)",NICSP 01.pdf,"{""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-01"", ""norma_titulo"": ""Presentación de Estados Financieros"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": ""Entidad económica"", ""parrafo_ini"": 10, ""parrafo_fin"": 10, ""page_ini_pdf"": 13, ""page_fin_pdf"": 13, ""source_file"": ""NICSP 01.pdf"", ""content_type"": ""definition""}"
