chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP-04-P0001,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Objetivo,,1,1,9,9,paragraph,"Una entidad puede llevar a cabo actividades en el extranjero de dos maneras diferentes. Puede realizar transacciones en moneda extranjera o bien puede tener negocios en el extranjero. Además, una entidad puede presentar sus estados financieros en una moneda extranjera. El objetivo de esta Norma es prescribir cómo se incorporan, en los estados financieros de una entidad, las transacciones en moneda extranjera y los negocios en el extranjero, y cómo convertir los estados financieros a la moneda de presentació n elegida.",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Objetivo — párr. 1 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0001"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0002,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Objetivo,,2,2,9,9,paragraph,"Los principales problemas que se presentan son (a) la tasa o tasas de cambio a utilizar, y (b) la manera de informar sobre los efectos de las variaciones en las tasas de cambio dentro de los estados financieros. Alcance",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Objetivo — párr. 2 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0002"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0003,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,3,3,9,9,paragraph,"Una entidad que prepare y presente sus estados financieros según la base contable de acumulación (o devengo), aplicará la presente Norma: (b) al convertir el rendimiento financiero y la situación financiera de los negocios en el extranjero que se incluyan en los estados financieros de la entidad, ya sea por consolidación o por el método de la participación; y (c) al convertir el rendimiento financiero y la situación financiera de la entidad en una moneda de presentación. contratos), entran dentro del alcance de esta Norma. Además, esta Norma se aplica cuando la entidad convierte los importes relacionados con derivados desde su moneda funcional a la moneda de presenta ción.",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 3 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0003"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0005,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,5,5,9,9,paragraph,"Esta Norma no es aplicable a la contabilidad de coberturas para partidas en moneda extranjera, incluyendo la cobertura de una inversión neta en un negocio en el extranjero. La contabilidad de coberturas se trata en",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 5 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0005"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0006,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,6,6,9,9,deleted,[Eliminado],NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 6 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0006"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0007,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,7,7,9,9,deleted,[Eliminado],NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 7 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0007"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0008,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,8,8,9,9,paragraph,"Esta Norma se aplica a la presentación de los estados financieros de una entidad en una moneda extranjera, y establece los requisitos para que los estados financieros resultantes puedan ser calificados como que cumplen con las NICSP. También se especifica la información a revelar, en el caso de conversión de información financiera a una moneda extranjera que no cumpla los anteriores requerimientos.",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 8 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0008"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 8, ""parrafo_fin"": 8, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0009,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Alcance,,9,9,9,9,paragraph,"Esta Norma no se aplica a la presentación, dentro del estado de flujo de efectivo, de los flujos de efectivo que se deriven de transacciones en moneda extranjera, ni de la conversión de los flujos de efectivo de los negocios en el extranjero (véase la NICS P 2, Estado de Flujos de Efectivo ). Definiciones",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Alcance — párr. 9 — p. 9,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0009"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 9, ""parrafo_fin"": 9, ""page_ini_pdf"": 9, ""page_fin_pdf"": 9, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0011,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Definiciones,Moneda funcional,11,11,10,10,paragraph,"El entorno económico principal en el que opera la entidad es, normalmente, aquél en el que ésta principalmente genera y emplea el efectivo. Para determinar su moneda funcional, la entidad considerará los siguientes factores: (a) La moneda: (i) en que se produzcan los ingresos, tales como impuestos, subvenciones, transferencias y multas; (ii) que influya fundamentalmente en los precios de venta de los bienes y servicios (con frecuencia será la moneda en la cual se denominen y liquiden los precios de venta de sus bienes y servicios); y (iii) del país cuyas fuerzas competitivas y regulaciones determinen fundamentalmente los precios de venta de sus bienes y servicios. (b) La moneda que influya fundamentalmente en los costos de la mano de obra, de los materiales y de otros costos de producir los bienes o suministrar los servicios (con frecuencia será la moneda en la cual se denominen y liquiden tales costos).",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Definiciones / Moneda funcional — párr. 11 — p. 10,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0011"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": ""Moneda funcional"", ""parrafo_ini"": 11, ""parrafo_fin"": 11, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
NICSP-04-P0012,NICSP,NICSP-04,Efectos de las variaciones en las tasas de cambio de la moneda extranjera,2025-01-31,es,Definiciones,Moneda funcional,12,12,10,10,paragraph,"Los siguientes factores también pueden suministrar evidencia acerca de la moneda funcional de una entidad: (a) La moneda en la cual se generan los fondos de las actividades de financiación (esto es, emisión de deuda e instrumentos del patrimonio neto). (b) La moneda en que se mantienen los importes cobrados por las actividades de operación.",NICSP-04 — Efectos de las variaciones en las tasas de cambio de la moneda extranjera — Definiciones / Moneda funcional — párr. 12 — p. 10,NICSP 04.pdf,"{""chunk_id"": ""NICSP-04-P0012"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-04"", ""norma_titulo"": ""Efectos de las variaciones en las tasas de cambio de la moneda extranjera"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": ""Moneda funcional"", ""parrafo_ini"": 12, ""parrafo_fin"": 12, ""page_ini_pdf"": 10, ""page_fin_pdf"": 10, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 04.pdf""}"
