chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP 14-P0001,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Objetivo,,1,1,6,6,paragraph,"El objetivo de esta Norma es prescribir: (a) cuándo debe, una entidad, proceder a ajustar sus estados financieros por hechos ocurridos después de la fecha de presentación; y (b) las revelaciones que la entidad debe efectuar respecto a la fecha en que los estados financieros fueron autorizados para su emisión, así como, respecto a los hechos ocurridos después de la fecha de presentación. La norma exige también, a la entidad, que no prepare sus estados financieros bajo la hipótesis de negocio en marcha, si los hechos ocurridos después de la fecha de presentación indican que tal hipótesis de continuidad no resulta apropiada.",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Objetivo — párr. 1 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0001"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0002,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Alcance,,2,2,6,6,paragraph,Una entidad que prepare y presente estados financieros bajo la base contable de acumulación (o devengo) debe aplicar esta Norma en la contabilización y en las revelaciones correspondientes a los,NICSP 14 — Hechos ocurridos después de la fecha de presentación — Alcance — párr. 2 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0002"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0003,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Alcance,,3,3,6,6,deleted,[Eliminado],NICSP 14 — Hechos ocurridos después de la fecha de presentación — Alcance — párr. 3 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0003"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0004,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Alcance,,4,4,6,6,deleted,[Eliminado],NICSP 14 — Hechos ocurridos después de la fecha de presentación — Alcance — párr. 4 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0004"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0005,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Definiciones,,5,5,6,6,definition,"El siguiente término se usa, en la presente Norma, con el significado que a continuación se especifica: Los hechos ocurridos después de la fecha de presentación  son todos aquellos eventos, ya sean favorables o desfavorables, que se han producido entre la fecha de presentación de los estados financieros y la fecha de autorización para su emisión. Pueden identificarse dos tipos de eventos: (a) aquellos que suministran evidencia de condiciones que ya existían en la fecha de presentación (hechos posteriores a la fecha de presentación que implican ajuste); y (b) aquellos que son indicativos de condiciones que han aparecido después de la fecha de presentación (hechos posteriores a la fecha de presentación que no implican ajuste). Los términos definidos en otras NICSP se utilizan en esta Norma con el mismo significado que en dichas Normas, y se reproducen en el Glosario de términos definidos publicado por separado.",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Definiciones — párr. 5 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0005"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""definition"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0006,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Autorización de los estados financieros para su emisión,,6,6,6,6,paragraph,"Para determinar qué hechos satisfacen la definición de hechos ocurridos después de la fecha de presentación, es necesario identificar, la fecha de los estados financieros y la fecha en la que son autorizados para su emisión. La fecha de presentación es el último día del periodo sobre el que se informa al cual se refieren los estados financieros. La fecha de autorización para su emisión es la fecha en la cual los estados financieros reciben aprobación del individuo o consejo con autoridad de finalizarlos par a su emisión. La opinión de la auditoría se proporciona con base en estos estados financieros terminados. Los hechos ocurridos después de la fecha de presentación son todos aquellos hechos, favorables o desfavorables, que ocurren entre la fecha de presentación y la fecha en que los mismos son autorizados para su emisión, incluso si estos hechos ocurren después de: (a) la publicación de un anuncio del resultado (ahorro o desahorro), (b) la autorización de los estados financieros de una entidad controlada, o (c) la publicación de otra información seleccionada relativa a los estados financieros.",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Autorización de los estados financieros para su emisión — párr. 6 — p. 6,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0006"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Autorización de los estados financieros para su emisión"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0007,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Autorización de los estados financieros para su emisión,,7,7,7,7,paragraph,"El proceso, relacionado con la preparación y autorización de los estados financieros para su emisión, puede variar según diferentes tipos de entidades, dentro y entre diversas jurisdicciones. Puede depender de la naturaleza de la entidad, de la estructura del órgano de gobierno, de los requisitos legales relacionados con esa entidad y de los procedimientos seguidos para la preparación y finalización de los estados financieros. La responsabilidad para la autorización de los estados financieros de las agencias individuales de gobierno depende del responsable de la agencia financiera central (o del funcionario responsable en materia de contabilidad, como el controlador o contable general). La responsabilidad para la autorización de los estados financieros consolidados del gobierno en su conjunto depende conjuntamente del responsable de la agencia financiera central (o del funcionario responsable en materia de contabilidad, como el controlador o contable general) y del ministro de finanzas (o equivalente).",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Autorización de los estados financieros para su emisión — párr. 7 — p. 7,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0007"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Autorización de los estados financieros para su emisión"", ""subseccion"": null, ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0008,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Autorización de los estados financieros para su emisión,,8,8,7,7,paragraph,"En algunos casos, como paso final en el proceso de autorización, se requiere que una entidad presente sus estados financieros a otro organismo (por ejemplo, un organismo legislativo como el Parlamento o consejo municipal). Este organismo puede tener la facultad de requerir cambios en los estados financieros auditados. En otros casos, la presentación de los estados financieros a otro organismo puede ser simplemente una cuestión de protocolo o procedimiento y ese otro organismo no tiene el poder de requerir c ambios en los estados. La fecha de autorización para la emisión de los estados financieros será determinada en el contexto de una jurisdicción concreta.",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Autorización de los estados financieros para su emisión — párr. 8 — p. 7,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0008"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Autorización de los estados financieros para su emisión"", ""subseccion"": null, ""parrafo_ini"": 8, ""parrafo_fin"": 8, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0009,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Reconocimiento y medición,,9,9,7,7,paragraph,"En el periodo entre la fecha de presentación y la fecha en que son autorizados para su emisión, los responsables gubernamentales pueden anunciar la intención del gobierno con respecto a ciertas cuestiones. Si dichas intenciones del gobierno requieren reconocimiento como hechos que implican ajustes o no, dependerá de (a) si proporcionan información adicional sobre las condiciones existentes en la fecha de presentación, y (b) si existe suficiente evidencia de que pueden y serán llevados a cabo. En la mayoría de los casos, el anuncio de intenciones del gobierno no conduce al reconocimiento de hechos que implican ajustes. En su lugar, reunirán los requisitos para la revelación como hechos que no implican ajustes.",NICSP 14 — Hechos ocurridos después de la fecha de presentación — Reconocimiento y medición — párr. 9 — p. 7,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0009"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Reconocimiento y medición"", ""subseccion"": null, ""parrafo_ini"": 9, ""parrafo_fin"": 9, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
NICSP 14-P0010,NICSP,NICSP 14,Hechos ocurridos después de la fecha de presentación,31-01-2025,es,Reconocimiento y medición,Hechos ocurridos después de la fecha de presentación que implican ajustes,10,10,7,7,paragraph,Una entidad debe proceder a ajustar los importes reconocidos en sus estados financieros para reflejar la incidencia de los hechos ocurridos después de la fecha de presentación que impliquen ajustes.,NICSP 14 — Hechos ocurridos después de la fecha de presentación — Reconocimiento y medición / Hechos ocurridos después de la fecha de presentación que implican ajustes — párr. 10 — p. 7,NICSP 14.pdf,"{""chunk_id"": ""NICSP 14-P0010"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 14"", ""norma_titulo"": ""Hechos ocurridos después de la fecha de presentación"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Reconocimiento y medición"", ""subseccion"": ""Hechos ocurridos después de la fecha de presentación que implican ajustes"", ""parrafo_ini"": 10, ""parrafo_fin"": 10, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 14.pdf""}"
